#log cleared and ready for new test runs of the game that have been converted to use functions inside the main l
new run________________________________________________________________________________________________
4, 132
260, 4
388, 4
388, 68
452, 4
452, 68
452, 132
452, 196
452, 260
196, 4
________________________________________________
4, 4
4, 68
4, 132
260, 4
388, 4
388, 68
452, 4
452, 68
452, 132
452, 196
452, 260
196, 4
68, 4
________________________________________________
4, 4
4, 68
4, 132
260, 4
388, 4
388, 68
452, 4
452, 68
452, 132
452, 196
452, 260
196, 4
68, 4
324, 4
________________________________________________
4, 4
4, 68
4, 132
260, 4
388, 4
452, 4
452, 68
452, 132
452, 196
452, 260
196, 4
68, 4
324, 4
________________________________________________
4, 4
4, 68
4, 132
260, 4
388, 4
452, 4
452, 68
452, 132
452, 196
452, 260
196, 4
324, 4
________________________________________________
4, 4
4, 68
4, 132
260, 4
452, 4
452, 68
452, 132
452, 196
452, 260
196, 4
324, 4
________________________________________________
4, 4
4, 68
4, 132
452, 4
452, 68
452, 132
452, 196
452, 260
196, 4
324, 4
________________________________________________
4, 4
4, 68
452, 4
452, 68
452, 132
452, 196
452, 260
196, 4
324, 4
________________________________________________
4, 4
4, 68
452, 4
452, 68
452, 132
452, 196
452, 260
196, 4
________________________________________________
4, 4
4, 68
452, 4
452, 68
452, 132
452, 196
452, 260
________________________________________________
4, 4
452, 4
452, 68
452, 132
452, 196
452, 260
new run________________________________________________________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
260, 388
new run________________________________________________________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
260, 388
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
260, 388
324, 260
new run________________________________________________________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
260, 388
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
260, 388
324, 260
new run________________________________________________________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
260, 388
new run________________________________________________________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
196, 196
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
196, 196
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
196, 196
260, 324
260, 388
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
196, 196
260, 324
260, 388
324, 260
new run________________________________________________________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
260, 388
new run________________________________________________________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
260, 388
new run________________________________________________________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
132, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
132, 260
196, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
132, 260
196, 260
324, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
132, 260
196, 260
324, 260
260, 388
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
132, 260
196, 260
324, 260
260, 388
324, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
132, 260
196, 260
324, 260
260, 388
324, 324
388, 260
new run________________________________________________________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
260, 388
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
260, 388
324, 260
new run________________________________________________________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
260, 196
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 260
260, 324
new run________________________________________________________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 196
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 196
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 196
260, 260
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 196
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 196
________________________________________________
4, 4
4, 68
4, 132
4, 196
68, 4
68, 68
68, 132
68, 196
132, 4
132, 68
132, 132
132, 196
196, 4
196, 68
196, 132
196, 196
260, 4
260, 68
260, 132
324, 4
324, 68
324, 132
324, 196
388, 4
388, 68
388, 132
388, 196
452, 4
452, 68
452, 132
452, 196
260, 196
260, 260
